CVE-2009-4491
CVE-1999-1588
CVE-1999-0059
CVE-1999-0066
CVE-1999-0013
CVE-1999-0043
CVE-1999-0052
CVE-1999-0006
CVE-2002-2024
CVE-2020-9384
CVE-2020-13654
CVE-2020-13998
CVE-2020-13927
CVE-2020-25575
CVE-2020-25966
CVE-2020-26942
CVE-2020-10148
CVE-2020-28246
CVE-2020-28400
CVE-2020-16139
CVE-2020-27352
CVE-2020-27986
CVE-2020-3921
CVE-2020-3259
CVE-2020-17519
CVE-2020-35587
CVE-2020-12667
CVE-2020-11920
CVE-2020-11877
CVE-2020-11915
CVE-2020-11876
CVE-2016-10180
CVE-2016-7919
CVE-2016-6531
CVE-2019-13946
CVE-2019-25211
CVE-2019-25038
CVE-2019-10936
CVE-2019-16640
CVE-2019-16639
CVE-2019-1206
CVE-2019-1205
CVE-2019-1212
CVE-2019-1213
CVE-2019-1224
CVE-2019-1181
CVE-2019-7256
CVE-2019-14232
CVE-2019-17626
CVE-2019-12105
CVE-2019-19752
CVE-2019-19589
CVE-2019-19750
CVE-2019-19751
CVE-2019-19753
CVE-2019-6268
CVE-2019-11388
CVE-2019-11391
CVE-2019-20473
CVE-2019-20470
CVE-2019-20468
CVE-2019-20464
CVE-2023-36596
CVE-2023-36567
CVE-2023-36090
CVE-2023-36053
CVE-2023-36392
CVE-2023-36602
CVE-2023-36439
CVE-2023-36321
CVE-2023-36052
CVE-2023-36643
CVE-2023-36091
CVE-2023-36720
CVE-2023-36645
CVE-2023-36512
CVE-2023-36397
CVE-2023-41917
CVE-2023-41503
CVE-2023-41266
CVE-2023-41921
CVE-2023-41240
CVE-2023-41265
CVE-2023-41102
CVE-2023-41763
CVE-2023-41923
CVE-2023-41264
CVE-2023-41313
CVE-2023-41185
CVE-2023-41651
CVE-2023-41920
CVE-2023-41957
CVE-2023-41918
CVE-2023-41922
CVE-2023-41181
CVE-2023-41084
CVE-2023-41919
CVE-2023-30999
CVE-2023-30996
CVE-2023-22527
CVE-2023-22845
CVE-2023-25457
CVE-2023-25330
CVE-2023-25718
CVE-2023-25785
CVE-2023-25774
CVE-2023-25770
CVE-2023-26566
CVE-2023-26540
CVE-2023-26115
CVE-2023-26009
CVE-2023-26257
CVE-2023-4473
CVE-2023-4714
CVE-2023-4091
CVE-2023-4857
CVE-2023-4225
CVE-2023-4976
CVE-2023-4474
CVE-2023-34003
CVE-2023-34186
